index,state_year,R1M20,R1M40,R1M60,R1M80,R1F20,R1F40,R1F60,R1F80,R2M20,R2M40,R2M60,R2M80,R2F20,R2F40,R2F60,R2F80,R3M20,R3M40,R3M60,R3M80,R3F20,R3F40,R3F60,R3F80,R4M20,R4M40,R4M60,R4M80,R4F20,R4F40,R4F60,R4F80,R5M20,R5M40,R5M60,R5M80,R5F20,R5F40,R5F60,R5F80,R6M20,R6M40,R6M60,R6M80,R6F20,R6F40,R6F60,R6F80
0,AL-2006,1634192,1681546,1902236,1097066,839878,852748,944000,505826,792558,689732,641810,250872,400146,317058,292576,104922,16652,17574,17192,5312,8530,9272,8464,2648,24610,35500,23972,7348,12360,17984,10424,2974,2596,3352,1140,286,1370,2076,614,150,48738,24222,21046,8478,24720,11810,9978,3914
1,AL-2007,1644160,1685652,1895946,1134122,844694,854694,941348,525190,792930,696852,649640,259446,400368,320258,295674,109508,17260,18202,17380,5854,8796,9556,8490,2934,26114,37148,24870,8098,13128,18694,10868,3308,2918,3522,1190,320,1554,2174,646,156,52616,25454,21600,8926,26580,12340,10366,4094
2,AL-2008,1653084,1690422,1893510,1166318,848486,857176,940474,541948,794374,704742,656500,270030,401202,324274,298290,114756,18000,18802,17528,6416,9158,9956,8626,3262,27524,37878,26446,8760,13796,18878,11712,3510,3232,3986,1300,332,1696,2492,700,178,57000,26962,22220,9350,28624,13036,10768,4318
3,AL-2009,1652450,1695584,1896204,1197498,847940,860220,943498,557932,793232,712768,661030,280428,400508,328604,301068,120162,18964,19326,17756,6872,9652,10232,8706,3526,28854,40214,27998,9586,14478,20056,12590,3884,3476,4308,1418,352,1824,2650,760,184,60942,28730,22800,9872,30632,13870,11062,4556
4,AK-2006,245744,264490,316168,96380,127538,140562,168022,51218,15766,16228,11988,2742,8070,9118,6554,1388,81072,56340,50124,17286,41768,28882,24908,8152,18630,19674,20464,6832,9510,9328,9148,2738,5016,4000,2088,430,2562,2036,1084,196,45508,20272,12318,2876,23260,9970,6008,1400
5,AK-2007,242750,266090,312588,103968,126108,141882,166000,55480,15416,16492,12332,2930,7984,9442,6742,1472,80068,56516,50760,17812,41264,28914,25224,8374,18928,20080,20830,7388,9656,9528,9262,2946,5134,4394,2258,516,2636,2218,1166,274,46994,21852,12648,3080,24080,10804,6104,1490
6,AK-2008,239210,268952,311084,110688,124098,144990,165116,59258,15396,16748,12360,2984,8004,9824,6864,1492,79156,57586,51098,18456,40920,29512,25476,8714,19762,20632,21780,7800,10106,9744,9722,3186,5628,4552,2400,558,2900,2334,1234,266,48926,23294,12940,3324,25124,11606,6208,1652
7,AK-2009,241040,266328,312856,118656,124860,140708,165898,63614,15454,15826,12994,3250,8022,8760,7194,1660,78880,58922,51824,19224,40862,30028,25878,9072,21724,21616,22660,8352,11094,10302,10112,3420,6060,4982,2660,640,3046,2480,1356,296,51558,24618,13494,3648,26550,12018,6590,1778
8,AZ-2006,2859500,2810402,2738942,1602694,1468636,1449428,1347756,761108,164360,150918,113660,36786,85106,81600,59962,17624,247678,184310,132644,44958,125166,93054,62894,19860,82690,118058,79452,28560,41572,57138,34472,11350,9302,10112,5476,1580,4896,5580,2986,790,127140,63636,34930,11864,64908,31088,16814,5696
9,AZ-2007,2908886,2841786,2768660,1671344,1492430,1463510,1363098,794480,173804,159918,120592,39404,89854,86342,63532,18960,251082,190486,137358,47340,126884,96560,65236,21060,89050,125408,85040,31354,44820,60442,37142,12492,10046,10818,5930,1766,5248,6058,3210,892,137338,68632,36924,12880,69962,33650,17796,6168
