index,state_year,educ
265,NH-2010,32.8
266,NH-2011,33.4
267,NH-2012,34.6
268,NH-2013,34.6
269,NH-2014,35.0
270,NJ-2006,33.4
271,NJ-2007,33.9
272,NJ-2008,34.4
273,NJ-2009,34.5
274,NJ-2010,35.4
275,NJ-2011,35.3
276,NJ-2012,36.2
277,NJ-2013,36.6
278,NJ-2014,37.4
279,NM-2006,25.3
280,NM-2007,24.8
281,NM-2008,24.7
282,NM-2009,25.3
283,NM-2010,25.0
284,NM-2011,25.6
285,NM-2012,26.1
286,NM-2013,26.4
287,NM-2014,26.4
288,NV-2006,20.8
289,NV-2007,21.8
290,NV-2008,21.9
291,NV-2009,21.8
292,NV-2010,21.7
293,NV-2011,22.5
294,NV-2012,22.4
295,NV-2013,22.5
296,NV-2014,23.1
297,NY-2006,31.2
298,NY-2007,31.7
299,NY-2008,31.9
300,NY-2009,32.4
301,NY-2010,32.5
302,NY-2011,32.9
303,NY-2012,33.4
304,NY-2013,34.1
305,NY-2014,34.5
306,OH-2006,23.0
307,OH-2007,24.1
308,OH-2008,24.1
309,OH-2009,24.1
310,OH-2010,24.6
311,OH-2011,24.7
312,OH-2012,25.2
313,OH-2013,26.1
314,OH-2014,26.6
315,OK-2006,22.1
316,OK-2007,22.8
317,OK-2008,22.2
318,OK-2009,22.7
319,OK-2010,22.9
320,OK-2011,23.8
321,OK-2012,23.8
322,OK-2013,23.8
323,OK-2014,24.2
324,OR-2006,27.5
325,OR-2007,28.3
326,OR-2008,28.1
327,OR-2009,29.2
328,OR-2010,28.8
329,OR-2011,29.3
330,OR-2012,29.9
331,OR-2013,30.7
332,OR-2014,30.8
333,PA-2006,25.4
334,PA-2007,25.8
335,PA-2008,26.3
336,PA-2009,26.4
337,PA-2010,27.1
338,PA-2011,27.0
339,PA-2012,27.8
340,PA-2013,28.7
341,PA-2014,29.0
342,RI-2006,29.6
343,RI-2007,29.8
344,RI-2008,30.0
345,RI-2009,30.5
346,RI-2010,30.2
347,RI-2011,31.1
348,RI-2012,31.4
349,RI-2013,32.4
350,RI-2014,30.4
351,SC-2006,22.7
352,SC-2007,23.5
353,SC-2008,23.7
354,SC-2009,24.3
355,SC-2010,24.5
356,SC-2011,24.1
357,SC-2012,25.1
358,SC-2013,26.1
359,SC-2014,26.3
360,SD-2006,24.8
361,SD-2007,25.0
362,SD-2008,25.1
363,SD-2009,25.1
364,SD-2010,26.3
365,SD-2011,26.3
366,SD-2012,26.3
367,SD-2013,26.6
368,SD-2014,27.8
369,TN-2006,21.7
370,TN-2007,21.8
371,TN-2008,22.9
372,TN-2009,23.0
373,TN-2010,23.1
374,TN-2011,23.6
375,TN-2012,24.3
376,TN-2013,24.8
377,TN-2014,25.3
378,TX-2006,24.7
379,TX-2007,25.2
380,TX-2008,25.3
381,TX-2009,25.5
382,TX-2010,25.9
383,TX-2011,26.4
384,TX-2012,26.7
385,TX-2013,27.5
386,TX-2014,27.8
387,UT-2006,28.6
388,UT-2007,28.7
389,UT-2008,29.1
390,UT-2009,28.5
391,UT-2010,29.3
392,UT-2011,29.7
393,UT-2012,30.7
394,UT-2013,31.3
395,UT-2014,31.1
396,VA-2006,32.7
397,VA-2007,33.6
398,VA-2008,33.7
399,VA-2009,34.0
400,VA-2010,34.2
401,VA-2011,35.1
402,VA-2012,35.5
403,VA-2013,36.1
404,VA-2014,36.7
405,VT-2006,32.4
406,VT-2007,33.6
407,VT-2008,32.1
408,VT-2009,33.1
409,VT-2010,33.6
410,VT-2011,35.4
411,VT-2012,35.8
412,VT-2013,35.7
413,VT-2014,34.9
414,WA-2006,30.5
415,WA-2007,30.3
416,WA-2008,30.7
417,WA-2009,31.0
418,WA-2010,31.1
