index,state_year,R1M20,R1M40,R1M60,R1M80,R1F20,R1F40,R1F60,R1F80,R2M20,R2M40,R2M60,R2M80,R2F20,R2F40,R2F60,R2F80,R3M20,R3M40,R3M60,R3M80,R3F20,R3F40,R3F60,R3F80,R4M20,R4M40,R4M60,R4M80,R4F20,R4F40,R4F60,R4F80,R5M20,R5M40,R5M60,R5M80,R5F20,R5F40,R5F60,R5F80,R6M20,R6M40,R6M60,R6M80,R6F20,R6F40,R6F60,R6F80
11,AZ-2011,3031138,2829342,2821996,1864902,1551476,1450114,1389024,886436,203284,182894,137724,48416,105380,98824,72328,23222,267206,207222,146958,54546,135148,105808,69896,24346,108774,142230,101356,40340,54868,68834,44522,15940,11228,12212,6992,2240,5824,6742,3886,1146,174502,83880,43248,15900,88656,41360,20696,7448
12,AZ-2012,3014968,2849870,2842010,1932860,1543490,1461420,1399268,918008,205514,190226,142206,51960,106486,102914,74546,24758,268032,212902,149798,57060,135474,108760,71380,25390,111342,148002,106802,43154,56322,72140,47044,17024,11172,12620,7146,2408,5768,7030,3972,1228,179338,88102,45064,16934,91304,43540,21440,7870
13,AZ-2013,3000738,2872484,2850362,2001922,1535194,1473256,1403732,949948,208044,196622,146562,55038,107792,106004,76708,26218,268016,218164,152544,59678,135626,111328,72592,26444,114390,154284,112146,46652,57872,75704,49562,18488,11046,12862,7554,2546,5702,7130,4134,1282,184370,92706,46692,17952,93796,45784,22080,8300
14,AZ-2014,3000930,2907090,2856342,2078396,1535194,1492560,1408604,984566,212050,204442,150260,58796,109658,110422,78332,28016,268898,222918,155106,62688,136142,113774,73816,27810,118608,161000,117268,50700,59986,79464,52012,20082,11082,13084,7888,2714,5726,7290,4286,1356,189294,97312,48342,19258,96278,48298,22860,8904
15,AR-2010,1257298,1186896,1263834,814654,645492,602442,627440,381960,322206,255516,227568,87196,162472,120900,105936,38140,17898,15190,14036,4820,9080,7782,6810,2462,22958,28868,17876,5658,11388,14002,7984,2368,6232,5320,1684,350,3272,2890,802,174,51818,21724,16476,7862,26066,10544,8040,3562
16,AR-2011,1254890,1190924,1265878,830894,644482,604074,628838,389950,318700,259658,228226,91484,161026,123236,105886,40326,17550,15472,14388,5246,8868,7988,7000,2666,23454,31022,18924,6184,11662,15040,8522,2538,6538,5776,1910,388,3368,3118,924,200,53878,22564,16576,8366,26992,11002,8034,3856
17,AR-2012,1246034,1192860,1264942,845632,640198,604746,628154,397220,315000,261974,228032,96120,159322,124632,105486,42440,17696,15924,14600,5578,8886,8268,7086,2842,24406,33726,19830,6732,12430,16466,9024,2718,6672,6014,2140,442,3458,3264,1038,216,56114,23496,16752,8800,28250,11444,8132,4078
18,AR-2013,1238332,1193488,1259590,860230,636090,604958,624936,404240,311416,265312,227956,100516,157556,126656,105208,44480,17358,16294,14632,6008,8640,8494,7114,3036,24740,33906,20530,7220,12708,16510,9378,2882,6868,6164,2310,500,3536,3356,1132,248,58362,24556,16892,9210,29474,12018,8234,4290
19,AR-2014,1233372,1193530,1249878,876544,633706,604932,620260,411652,308174,268528,226598,105506,156056,128654,104306,46768,17224,16768,14660,6418,8560,8662,7084,3224,25586,34218,21146,7808,13156,16750,9650,3136,7262,6572,2504,554,3676,3586,1222,262,60090,25514,16974,9730,30294,12562,8258,4544
20,CA-2010,16038006,15518336,14826630,7196356,8230054,8035608,7448102,3371056,1564542,1418844,1357264,537668,798418,713506,668012,240180,448058,394368,298138,92544,229470,206896,150008,43708,2546006,3151572,2869514,1305266,1305856,1506942,1317082,576050,123398,120194,88598,28510,63186,60394,42848,13430,1296836,715286,424090,135734,657978,347212,203974,61634
21,CA-2011,15941686,15567256,14930574,7433906,8171974,8051548,7504802,3488130,1531760,1435444,1365842,560590,781712,723090,672186,250726,436972,398068,304886,97990,223290,208918,153620,46272,2525312,3222888,2935288,1386974,1296094,1543984,1347114,612788,120758,122452,91432,30520,61856,61750,44156,14466,1318430,737766,436618,143598,669862,358800,209830,65450
22,CA-2012,15813356,15672964,14993646,7681152,8099994,8108484,7539876,3608856,1494108,1459290,1371590,583094,763266,738152,675090,260902,425566,402838,310990,104018,216888,211830,156656,49242,2511452,3292392,3003192,1461122,1289038,1582056,1378548,645366,118520,124982,93858,32472,60570,63026,45360,15376,1336228,762838,448894,151732,679306,371984,215438,69316
23,CA-2013,15696720,15801596,14998864,7935338,8031582,8176978,7545244,3730824,1460758,1481008,1370518,604386,745968,751012,674154,270102,414080,408534,315978,109744,210432,214978,159492,51924,2525772,3361400,3073362,1539358,1296058,1620422,1410966,679504,116938,127260,95732,34644,59558,64332,46314,16396,1354612,790556,459310,160130,689320,386668,220304,73218
24,CA-2014,15605448,15944524,14952982,8210234,7979424,8259318,7526496,3862278,1433052,1509616,1367590,626692,731540,770110,673492,280010,404408,413762,320156,115946,205434,217694,161720,54788,2548556,3438514,3138448,1623216,1307794,1662706,1440834,716394,115546,128642,97632,36750,58780,65224,47270,17384,1375056,818582,468140,169504,700410,401728,224518,77416
25,CO-2010,2439424,2513198,2539656,1194838,1256336,1298440,1264246,570570,145162,132946,111946,37028,74706,72840,60278,17666,55098,49754,39178,11556,27874,26112,19958,5694,83520,102316,75248,27350,40216,47568,33052,11208,6262,6186,3540,970,3106,3186,1824,482,143946,71980,39106,10656,72906,34734,18862,4900
26,CO-2011,2447568,2538398,2555904,1254336,1261566,1309592,1273292,599650,145420,136240,114388,39014,75020,74424,61688,18740,55436,50866,39518,12400,28046,26586,20110,6116,85680,105240,78306,29484,41270,48890,34394,12194,6278,6482,3702,1072,3104,3374,1926,524,148290,74666,40442,11412,75114,36200,19516,5236
27,CO-2012,2447736,2564856,2570348,1315964,1262440,1323232,1281674,629612,146514,140498,116874,40988,75492,76872,62862,19812,55220,51748,40154,13214,27966,27070,20456,6508,87622,109052,81534,31322,42044,50944,35900,12912,6324,6866,3992,1130,3146,3622,2058,552,151384,78534,41978,12264,76808,38174,20276,5648
28,CO-2013,2447212,2604902,2575660,1381070,1261076,1345588,1285320,661332,147644,145954,119282,43116,75916,80224,64172,20934,55684,52908,40862,14096,28270,27548,20838,6890,89488,112864,85104,33236,42956,52950,37636,13664,6362,7074,4298,1202,3200,3754,2178,592,155084,82524,43482,13260,78708,40380,20956,6078
29,CO-2014,2452800,2656450,2569990,1447424,1263586,1375596,1284414,692870,149814,152266,121012,45620,77250,84260,65292,22238,55862,54194,41452,15016,28352,28188,21116,7404,91482,117204,88642,35322,43942,55324,39210,14482,6350,7208,4468,1296,3184,3832,2266,646,158158,86928,44726,14242,80360,42654,21576,6502
30,CT-2010,1486854,1365004,1834526,942982,764070,688188,898416,435412,268804,228904,201754,75234,137390,109414,93052,31116,11780,10576,8432,2472,6002,5584,4196,1132,82894,106296,69848,22078,41076,51610,33540,10286,2236,2598,1806,328,1118,1518,1008,152,78576,35366,20778,6230,39484,16898,9910,2730
31,CT-2011,1478874,1346080,1833044,964692,759090,680398,897482,446614,266326,232410,205928,78436,136292,111542,95014,32548,11922,10816,8630,2660,6014,5790,4324,1188,85422,107952,72864,23974,42156,52426,34930,11226,2172,2652,1912,354,1074,1552,1056,164,80526,36226,21554,6574,40538,17332,10276,2896
32,CT-2012,1465290,1332880,1824088,987632,751072,675816,893032,458150,263480,236942,209748,81726,134976,114282,96682,34050,12114,11282,8802,2874,6070,6104,4464,1308,87198,110754,76590,25786,43018,53488,36652,12060,2124,2706,1970,366,1056,1576,1080,164,82210,37152,22376,6896,41352,17794,10600,3042
33,CT-2013,1444744,1330356,1803130,1014062,739996,675984,882378,471644,260270,242766,213240,84890,133054,117938,98514,35472,12284,11630,8984,3032,6190,6294,4568,1408,87798,109862,79466,27348,43350,53054,37928,12728,2060,2726,2000,378,1036,1582,1110,168,83672,38580,23128,7216,42152,18524,10928,3218
34,CT-2014,1421470,1334684,1770978,1041924,728278,679540,866310,485772,257186,247180,215226,88400,131382,120670,99250,37010,12432,11844,9168,3196,6330,6380,4694,1496,89236,114032,82874,29296,44162,55312,39378,13576,2076,2742,2078,412,1054,1566,1156,182,85338,40010,23590,7624,43096,19292,11112,3388
35,DE-2010,315030,314472,374442,237824,160544,158210,182554,110920,133994,107494,105320,41066,67804,50858,47654,17796,3996,3858,2774,1056,2042,1984,1476,514,16586,21714,14322,5828,8372,10562,6688,2598,520,544,238,70,254,286,112,32,24320,8786,4964,1750,11864,3942,2172,800
36,DE-2011,310674,316686,374114,244908,158266,159086,182362,114306,133718,108620,107500,43494,67608,51526,48606,18854,3846,3938,2826,1098,1970,2046,1516,530,16964,22392,15128,6304,8494,10970,7018,2838,494,546,266,70,238,280,130,30,25014,9310,5210,1884,12248,4174,2288,850
37,DE-2012,308188,317554,373836,252676,157080,159732,182342,117922,132748,110096,109422,45782,67070,52280,49568,19810,3752,3784,2862,1184,1934,1944,1516,576,17152,22946,15840,6808,8640,11268,7366,3074,500,574,290,74,252,306,142,32,25582,9830,5450,2028,12606,4432,2398,908
38,DE-2013,304800,318484,371888,262052,155202,159984,181518,122346,131386,112858,110538,48254,66216,53726,50048,20796,3682,3754,2942,1266,1884,1880,1530,616,17726,24480,16744,7404,9012,12198,7794,3338,536,574,308,80,286,306,146,40,26224,10318,5644,2186,12952,4738,2472,950
39,DE-2014,302418,319872,368296,272830,153908,160914,179672,127336,130848,115516,111770,50824,65910,55098,50762,21816,3574,3756,3018,1340,1856,1894,1538,660,18144,25430,17430,7860,9338,12750,8128,3526,548,612,350,86,298,346,166,48,26680,11012,5828,2334,13194,5198,2546,1006
40,District of Columbia-2010,83866,253894,104102,53728,41292,124228,56734,26272,170644,164540,173912,89980,84600,74674,80382,36700,1698,2594,1570,612,842,1430,786,272,6790,25354,7822,3298,3056,10616,3306,1252,454,706,316,96,258,392,146,40,9732,12118,4990,1806,4696,5280,2276,666
41,District of Columbia-2011,87228,263160,108484,56174,43220,128966,59572,27354,170096,169180,173670,91746,84414,76854,80294,37418,1684,2766,1620,634,810,1544,812,288,7282,25996,8230,3532,3250,10804,3506,1348,500,712,344,100,298,398,162,42,10408,12644,5144,1898,5072,5400,2350,680
42,District of Columbia-2012,92002,270788,113048,58586,45512,132696,62296,28522,171102,173876,172492,93940,84846,79014,79220,38322,1748,2830,1688,654,864,1542,860,292,7850,26820,8680,3720,3620,11048,3734,1440,588,690,374,110,342,382,184,46,11338,12952,5344,2002,5524,5524,2430,706
43,District of Columbia-2013,96456,277724,116032,60954,47598,136776,64152,29802,172192,180472,172750,95630,85428,82308,79116,38934,2100,3054,1740,678,1028,1748,876,304,8378,27650,9414,3894,3962,11414,4120,1470,618,672,386,126,350,382,192,52,12320,13400,5490,2078,5954,5642,2478,736
44,District of Columbia-2014,100930,282872,118960,63356,49940,139044,65946,30916,172360,185410,170344,97916,85532,84906,77840,39960,2220,3076,1780,688,1118,1864,904,308,8568,28404,10070,4122,4154,11770,4490,1548,638,724,378,138,336,388,186,56,12960,13550,5648,2196,6204,5698,2548,782
45,FL-2010,6742604,7067082,8376572,5975652,3462444,3602474,4109968,2795346,2127076,1803906,1543104,611296,1079302,868370,727014,268260,54880,55474,49056,17364,28480,30754,24966,8650,249468,314676,268822,110816,125356,146172,118198,47952,12100,13822,8884,2640,6282,7420,4278,1234,342052,166670,111550,42206,172434,79612,52616,19402
46,FL-2011,6691842,7116514,8413940,6124568,3437498,3628210,4132348,2865486,2127936,1858706,1575262,646776,1080954,898782,742802,284596,54134,56458,50592,18862,27994,31396,25878,9376,250686,321200,279142,120504,126076,149500,123186,51964,12064,14118,9404,2940,6240,7558,4572,1384,355644,173984,115034,44812,179898,83214,54006,20554
47,FL-2012,6654032,7190804,8467804,6290598,3419194,3665298,4160038,2940880,2120278,1919630,1606928,683330,1076412,930044,756176,300584,53604,57886,52016,20604,27612,32304,26670,10256,251472,329522,289168,130132,126366,153484,128070,55846,12272,14556,9846,3222,6372,7734,4834,1544,370162,182768,119430,47648,187756,87252,55838,21828
48,FL-2013,6647906,7267114,8505976,6470412,3416090,3706108,4181040,3022438,2122856,1961818,1633988,718880,1078304,952428,767930,316182,52852,58682,52888,22094,27208,32768,27296,10994,254838,335440,299528,139790,128048,156442,132812,59878,12292,14934,10126,3596,6344,7948,4942,1746,383842,191146,123604,50562,194894,91532,57584,23134
49,FL-2014,6671730,7366860,8540978,6684768,3426852,3759240,4200702,3119840,2127258,2009974,1660624,757170,1079544,979544,779780,333178,52234,59728,54092,23948,26898,33306,27816,12010,258596,342438,309880,150940,129852,160516,137372,64540,12380,15236,10552,3970,6370,8042,5178,1910,398994,200268,127736,53900,202510,96118,59406,24742
50,GA-2010,3368598,3316006,3454120,1824840,1733220,1697142,1720762,854642,2060456,1766206,1564248,540540,1039158,818196,712528,226174,34902,33552,22308,6062,18350,18814,11496,3118,193092,230344,170476,54884,98676,109914,81058,25108,8062,8450,3658,810,4186,4718,1936,426,185782,84720,47254,15732,93324,39148,21920,7070
51,GA-2011,3347016,3289062,3475966,1887284,1722204,1680668,1733544,885082,2060492,1796052,1595124,575722,1040386,836740,727324,241848,34514,33058,23044,6638,18102,18456,11930,3422,197738,235226,178924,59876,101004,112298,85252,27320,8080,8454,3904,914,4166,4738,2054,474,193848,87652,49296,16862,97784,40350,22884,7612
52,GA-2012,3329942,3270440,3500736,1951028,1713228,1669926,1747620,915118,2055960,1823494,1620584,612944,1038212,853556,738498,257838,34694,32964,23652,7228,18088,18380,12354,3724,205260,243306,188950,64918,104802,116080,90152,29492,8092,8458,4116,1044,4112,4676,2162,530,202300,90898,51328,18054,102112,41592,23786,8076
53,GA-2013,3309178,3243398,3501328,2011816,1701068,1653670,1748842,943070,2043648,1848522,1646724,648938,1031242,866600,749392,273172,34528,32412,24316,7814,17854,18116,12724,4032,211644,250568,198990,70154,108392,119776,95148,31838,8182,8382,4358,1086,4128,4628,2308,542,209392,94284,53320,19298,105862,43042,24670,8610
54,GA-2014,3298426,3238234,3492336,2075638,1694608,1651376,1743720,973278,2042136,1884540,1669272,687656,1030290,885034,757846,289506,34488,32360,24712,8416,17862,17968,12972,4300,216532,256694,208526,76082,110822,123196,99600,34430,8312,8578,4594,1198,4186,4736,2432,582,216826,97792,55290,20556,109550,44540,25482,9134
55,HI-2010,124040,212712,215368,124136,65048,120552,115668,65816,12996,19416,10224,2534,6928,12404,6782,1638,2268,3872,2882,962,1184,2204,1480,494,197900,243192,332762,216518,102250,116070,156148,95300,96798,83574,66230,27456,49688,43518,33628,13206,280544,177644,122718,43706,143784,90192,60852,20422
56,HI-2011,125804,215314,210686,131218,66424,121746,113234,69658,14528,21054,10946,2744,7668,13172,7230,1786,2504,3788,2894,1054,1292,2176,1466,536,195744,243702,331422,221464,101074,116178,155206,98004,96286,86106,67092,28808,49394,44920,34204,13870,282086,180042,125130,46426,144742,91366,61976,21892
57,HI-2012,127468,221632,206264,137650,67198,125936,111260,72958,15214,22946,11450,3032,8184,14422,7528,1928,2474,3946,2876,1148,1316,2322,1478,552,193496,245956,329780,225674,99704,117716,154036,100238,95806,87612,68026,30198,48944,45806,34708,14556,282494,182676,127318,49090,145184,92718,63124,23228
58,HI-2013,130930,228910,201274,144192,69188,130728,108808,76234,15608,24292,11648,3294,8328,15452,7630,2086,2604,4038,2866,1214,1374,2368,1472,584,190444,246396,326438,230640,98106,118246,152030,102886,95006,88428,68460,31778,48488,46292,35054,15310,283020,185988,128832,51728,145582,94626,63848,24562
59,HI-2014,131960,231646,196124,150332,69722,132388,106358,79234,15644,25532,11954,3602,8272,16300,7840,2258,2652,4176,2928,1290,1404,2424,1510,610,187130,245708,321248,235898,96230,118350,149452,105490,93734,88810,68534,33342,47882,46516,35118,16102,282588,188758,129616,54760,145478,96246,64398,26028
60,ID-2010,917066,770122,759620,422248,469026,393120,378742,206444,9784,7154,4046,822,5090,4504,2596,498,19530,15214,12434,4248,10022,7794,6134,2064,11620,14006,10100,3662,5500,6576,4206,1420,2182,2048,1082,254,1144,1090,590,136,34522,15912,9826,3552,17246,7876,4796,1822
61,ID-2011,912252,773682,761722,439944,466928,394002,379510,215268,10124,7672,4346,906,5212,4774,2788,538,20030,15424,12716,4536,10174,7930,6278,2210,11850,14688,10604,3926,5698,6964,4488,1522,2064,2182,1170,280,1072,1184,632,154,35316,16622,10206,3856,17778,8204,4982,1956
62,ID-2012,907020,775908,762692,459206,464624,394952,379672,224778,10300,7698,4538,996,5356,4750,2894,610,20198,15482,12910,4854,10224,8022,6378,2360,11916,15196,10962,4178,5734,7284,4694,1614,2042,2234,1190,332,1042,1192,648,174,36186,17578,10464,4118,18170,8610,5164,2092
63,ID-2013,905582,782756,761914,479258,463588,399168,379302,234420,10782,8086,4746,1100,5628,4938,3066,672,20602,15854,13010,5152,10460,8250,6448,2492,11912,15504,11130,4466,5692,7434,4720,1746,2148,2406,1252,358,1098,1306,676,188,36752,18338,10764,4462,18488,9000,5318,2290
64,ID-2014,908534,792548,759890,500490,465042,404878,377892,244804,11116,8564,4982,1258,5766,5198,3218,776,20982,16126,13080,5514,10656,8358,6450,2664,12342,15780,11504,4752,5816,7598,4828,1894,2190,2534,1286,422,1120,1370,694,232,37680,18970,11012,4896,19032,9384,5464,2504
65,IL-2010,5425466,5389814,5649050,2862472,2783720,2747070,2815516,1326178,1292532,1038852,980160,421090,654174,486752,444874,174572,55666,49086,33154,8752,28538,26322,17416,4170,323246,435606,305980,135216,163242,211534,143250,62396,5062,5424,3394,874,2600,2936,1640,394,240972,105094,56658,18572,121682,50608,27430,8360
66,IL-2011,5379026,5352544,5653152,2937314,2757454,2728222,2819108,1366256,1263998,1045712,982098,436164,640088,492728,446132,180676,54008,48826,34384,9416,27552,26268,18094,4524,329758,445926,317406,145804,166558,216646,148414,67472,4994,5484,3502,958,2584,2984,1708,420,246476,107508,58674,19774,124868,51578,28354,8950
67,IL-2012,5319664,5317888,5637248,3020118,2724780,2710398,2813090,1409060,1234556,1053666,983616,450756,625728,498998,447110,186424,52448,48826,35592,10124,26698,26256,18736,4892,336420,456764,329216,156010,170126,222220,153718,72226,5004,5632,3648,1018,2572,3050,1786,454,252168,111338,60610,20888,128068,53594,29258,9524
68,IL-2013,5252820,5309182,5599546,3106200,2690158,2707340,2795294,1453482,1204602,1065048,984154,464312,610590,507134,447470,191822,50466,48766,36674,10770,25700,26220,19402,5180,343494,469796,340752,165730,173938,229346,159226,76394,5068,5794,3720,1120,2622,3146,1818,524,256256,115924,62284,22118,130382,55942,30058,10150
69,IL-2014,5187912,5292154,5533568,3194830,2656004,2698704,2763546,1497638,1174640,1076054,978354,477946,595098,515384,444950,197370,48888,48712,37600,11642,24876,26200,19890,5632,347768,478582,349860,175226,176156,233290,163750,80480,5078,5858,3828,1228,2650,3136,1934,574,260134,119996,63762,23470,132556,58130,30778,10816
70,IN-2010,3149842,2882108,3172290,1681718,1614262,1456766,1578038,780540,435990,343364,296674,113886,221510,164880,139018,48766,16510,14804,13312,4020,8338,7974,6904,1984,67410,83650,46668,15302,33704,41218,21748,6650,2656,2548,1488,352,1326,1360,716,154,135308,45772,25094,9076,67680,21648,12060,4244
71,IN-2011,3125872,2871844,3172766,1727794,1601996,1450120,1579120,804338,434850,348754,299482,118630,221228,167610,140606,50766,16258,14968,13602,4326,8134,8074,7044,2120,71848,88648,49462,16530,36378,43780,23116,7258,2736,2556,1548,386,1370,1366,738,184,139524,48018,25828,9674,69996,22798,12340,4572
72,IN-2012,3093722,2864412,3169280,1776346,1586096,1446084,1578398,829268,432296,353820,302116,123548,220152,170490,141852,53026,16232,15038,13832,4666,8132,8112,7168,2280,76956,94108,52128,17900,39446,46898,24382,7892,2766,2614,1620,440,1378,1390,770,210,143054,50542,26630,10218,72070,24056,12654,4838
73,IN-2013,3068250,2877494,3152726,1829360,1572714,1452858,1570444,855642,430668,361484,304804,128570,219344,175294,143274,55240,16134,15280,14046,5046,8094,8236,7318,2480,81130,99134,55302,19190,41492,49664,25882,8430,2856,2746,1652,514,1426,1454,792,248,146560,53576,27454,10838,73950,25510,13094,5102
74,IN-2014,3047744,2884912,3122804,1885272,1562256,1457156,1555316,883456,429260,367928,305974,133782,218552,179180,143910,57498,15936,15560,14204,5430,7928,8404,7408,2710,85058,104300,58468,20462,43604,52434,27442,9052,2860,2722,1696,556,1446,1418,844,264,150284,56492,28176,11418,75964,26842,13424,5356
75,IA-2010,1551616,1400698,1583450,892218,795248,713066,792016,417982,77378,57438,37296,11038,40372,31322,20296,5240,11162,8136,6356,1606,5720,4238,3138,760,35366,44208,22168,7156,17602,23042,10308,3140,2040,1910,756,192,1038,1028,398,94,59542,18830,8948,2760,30308,9132,4488,1282
76,IA-2011,1546476,1401496,1577576,912542,792454,713880,788988,429982,78700,59832,38352,11576,40954,32656,20964,5528,11554,8272,6528,1708,5888,4362,3224,806,38002,48418,23820,7770,18846,25426,11174,3406,2186,2148,794,230,1086,1180,418,120,61444,19862,9330,2964,31322,9602,4680,1390
77,IA-2012,1536586,1400934,1566352,936098,787270,713318,783146,442912,79724,61714,39414,12192,41456,33578,21664,5828,11838,8382,6664,1814,6080,4462,3316,838,40264,51578,25358,8316,20050,27320,11888,3640,2156,2166,832,254,1096,1170,426,136,63514,20972,9624,3200,32318,10218,4790,1508
78,IA-2013,1528520,1410418,1549032,961892,782790,718278,774020,456888,82498,66002,41028,12942,42714,36046,22514,6244,12344,8646,6888,1900,6298,4600,3422,896,43404,55730,27124,8818,21736,29654,12690,3864,2270,2294,920,298,1164,1270,480,162,65522,22294,9982,3472,33314,10902,4946,1652
79,IA-2014,1523592,1420606,1525186,988522,779740,724162,761644,470958,86042,70358,42216,13616,44518,38602,23174,6632,12780,8802,6932,2114,6420,4674,3432,976,46014,60038,28932,9340,23246,32106,13584,4088,2438,2418,1036,314,1230,1326,554,168,67704,23776,10314,3688,34510,11716,5100,1774
80,KS-2010,1427806,1288312,1364674,728694,733552,655994,678036,342706,123480,102474,84972,31198,64090,54626,43336,13830,24068,20248,16052,5246,12352,10506,7790,2518,43062,52820,32168,11192,21520,25790,14828,4936,2180,2138,1084,298,1136,1188,570,164,89224,33288,18234,5900,44788,16074,8716,2722
81,KS-2011,1426712,1283858,1359694,747214,733090,653526,675210,352958,123042,104004,85034,32340,63568,55328,43512,14442,24018,20330,16224,5574,12362,10572,7880,2676,44668,54702,33586,12120,22602,26472,15542,5342,2046,2034,1134,320,1078,1136,596,178,90884,34292,18638,6156,45810,16514,8892,2876
82,KS-2012,1424174,1289894,1350754,768002,732092,658690,670762,363788,123342,107032,85392,33596,63762,57208,43814,15102,24046,20390,16542,5778,12318,10682,8058,2754,45972,56680,34854,13024,23310,27462,16112,5742,2036,2006,1190,312,1064,1102,632,174,92258,35904,19030,6438,46600,17370,9116,2996
83,KS-2013,1415240,1295920,1335088,790870,727644,663144,663014,375604,122334,108654,84996,34814,63242,58386,43622,15798,23838,20786,16740,6030,12222,10932,8164,2850,47128,59240,36152,13726,23828,28896,16728,5984,2052,2124,1344,344,1094,1156,726,182,93100,37306,19396,6794,47138,18158,9358,3152
84,KS-2014,1408260,1301814,1314774,814290,724008,667642,652726,387118,120914,110842,84472,36134,62300,60082,43540,16552,23522,21046,16786,6348,12076,11162,8150,2984,47924,61938,37520,14428,24150,30758,17384,6252,2148,2212,1408,372,1168,1192,742,202,94234,39130,19572,7198,47894,19190,9396,3354
85,KY-2010,2061726,2009402,2207036,1217050,1057002,1014086,1086000,566016,232774,199774,178092,65872,119416,102900,86770,28560,6984,7498,7246,2364,3584,4212,3774,1236,31550,38342,23234,7792,15208,18254,10764,3196,2558,2570,1008,260,1356,1474,550,126,81770,27310,16924,7702,41020,13238,8416,3434
86,KY-2011,2048064,2008632,2207782,1249898,1051298,1011326,1086430,582664,233524,202344,180358,69168,119838,104142,87796,30246,6978,7270,7364,2606,3544,4064,3836,1376,32838,39250,24836,8424,15892,18770,11586,3436,2606,2530,1056,276,1368,1444,566,136,85266,28648,17270,8032,42968,13864,8514,3648
87,KY-2012,2028004,2007924,2205214,1284240,1041900,1011844,1085684,599892,233202,205578,181906,72754,119878,106388,88496,31972,6996,7296,7382,2848,3492,4056,3826,1534,34142,41050,26420,9168,16626,19838,12410,3686,2620,2612,1126,292,1344,1498,578,142,87752,30156,17506,8248,44124,14582,8534,3794
88,KY-2013,2015666,2007088,2195184,1319414,1036164,1012028,1081266,616838,233110,210210,183604,76474,119894,109266,89254,33680,6996,7396,7372,3090,3494,4064,3794,1660,36118,43296,27864,9726,17640,20922,13084,3912,2660,2630,1190,326,1388,1506,626,164,90988,31788,18100,8548,45950,15396,8846,3966
89,KY-2014,2002742,2004606,2175602,1355260,1029436,1010692,1071620,633644,231964,212852,183468,80282,119020,111024,89084,35294,7074,7436,7396,3352,3556,4110,3764,1786,37120,44280,29084,10422,18204,21540,13694,4254,2720,2738,1248,388,1412,1542,668,188,93178,33404,18390,8902,47122,16364,8934,4120
90,LA-2010,1497182,1551898,1645568,923642,766156,795574,820928,431210,1018222,821868,740896,303444,514254,391214,344800,130544,22292,19588,17072,6534,11336,10322,8454,3160,39162,53612,37358,13220,19878,27018,18306,6046,1630,2184,1026,298,856,1280,546,128,64466,28952,18982,7888,32646,13942,9066,3518
91,LA-2011,1482614,1564650,1644146,947244,759400,800338,820222,443538,1012580,837168,740878,318180,512122,399030,343780,137180,22274,20028,17256,6928,11198,10612,8540,3372,40244,54954,38816,14392,20552,27450,19110,6570,1644,2246,1090,314,858,1304,556,144,67896,30092,19476,8352,34500,14444,9326,3762
92,LA-2012,1467908,1575388,1638898,971852,753030,804468,817584,455774,1002916,854110,738508,333724,507282,408200,341864,144108,22326,20400,17528,7452,11224,10788,8712,3608,40534,55256,39966,15446,20570,27516,19760,7060,1692,2314,1162,338,884,1314,576,158,71302,31272,19740,8914,36370,14958,9422,4054
93,LA-2013,1459930,1582920,1628680,996960,749552,809096,811586,468676,993678,871964,736986,347850,502342,417926,340872,150202,22292,20766,17818,7912,11146,10996,8884,3860,41020,55420,40970,16580,20850,27458,20260,7602,1668,2312,1240,364,848,1320,632,168,73968,32524,19910,9414,37712,15566,9480,4278
94,LA-2014,1455920,1590332,1610000,1023644,746706,813816,801886,482158,985188,884962,732498,362560,497996,424872,338644,156828,22214,21236,17878,8372,11166,11168,8928,4058,41232,55544,41486,17714,20982,27762,20408,8196,1658,2242,1272,396,850,1258,654,174,77956,33888,20166,9986,39662,16144,9578,4554
95,ME-2010,603476,575656,800382,453050,310852,285904,391146,215554,15826,9316,5936,1560,8306,5422,3704,866,5544,4862,5288,1736,2816,2450,2596,804,9450,8900,6878,2254,4310,3966,2800,870,248,264,180,50,136,146,92,26,19894,8942,7074,2634,9994,4386,3516,1226
96,ME-2011,593150,572104,795530,467636,305816,284340,388490,223156,16358,9862,6304,1674,8614,5750,3862,930,5538,4910,5302,1850,2796,2440,2616,864,9560,9314,7042,2570,4384,4184,2870,988,256,276,186,54,140,140,98,26,20384,9230,7162,2832,10328,4474,3564,1332
97,ME-2012,583364,567650,788670,483210,300746,282180,385050,230778,16384,10268,6688,1834,8674,6058,4060,1018,5500,4952,5304,1966,2802,2410,2600,936,9504,9266,7256,2792,4362,4186,2962,1082,276,280,192,60,150,140,92,30,20990,9430,7230,3066,10702,4546,3582,1446
98,ME-2013,574000,566426,778726,499730,295894,282300,380204,238684,16696,10790,6882,1888,8882,6342,4208,1056,5386,4944,5394,2096,2726,2388,2672,1008,9456,9598,7474,3026,4412,4358,3026,1180,292,290,182,66,154,150,86,32,21484,9832,7344,3264,10944,4798,3620,1556
99,ME-2014,565770,569060,765694,517504,291682,284008,373630,246812,17492,11636,7226,2046,9146,6702,4374,1120,5402,4982,5412,2250,2740,2402,2660,1082,9526,10146,7836,3318,4442,4678,3154,1312,298,300,184,70,156,160,88,34,21796,10286,7414,3488,11032,5060,3620,1664
