index,state_year,R1M20,R1M40,R1M60,R1M80,R1F20,R1F40,R1F60,R1F80,R2M20,R2M40,R2M60,R2M80,R2F20,R2F40,R2F60,R2F80,R3M20,R3M40,R3M60,R3M80,R3F20,R3F40,R3F60,R3F80,R4M20,R4M40,R4M60,R4M80,R4F20,R4F40,R4F60,R4F80,R5M20,R5M40,R5M60,R5M80,R5F20,R5F40,R5F60,R5F80,R6M20,R6M40,R6M60,R6M80,R6F20,R6F40,R6F60,R6F80
211,TN-2011,2593988,2604186,2884306,1744812,1330502,1306274,1417184,817334,726402,623938,561972,215794,366540,295010,257440,91066,16554,16858,14412,5396,8466,9508,7430,2878,58892,71020,49896,17254,28998,33946,22640,7552,4148,4640,1880,468,2166,2560,992,210,113656,44448,29304,12576,57004,21190,14242,5830
212,TN-2012,2580726,2614448,2894644,1792132,1322968,1311858,1422772,840508,723548,636854,568468,227844,365774,302868,260484,96500,17134,16984,14676,5802,8882,9600,7674,3060,60548,73692,52272,18676,29734,35314,23902,8130,4194,4778,1978,548,2194,2642,1058,250,118756,46998,30100,13276,59548,22400,14664,6242
213,TN-2013,2568466,2621350,2891974,1838264,1316808,1314808,1422136,862502,717242,647650,571052,239240,362720,309030,261532,101636,17456,16886,14938,6248,8990,9490,7868,3250,61950,76456,54614,20034,30280,36794,24942,8652,4218,4744,2114,592,2178,2626,1130,280,123946,49502,30768,13862,62226,23582,14928,6596
214,TN-2014,2563026,2637472,2881136,1888330,1314274,1323134,1417952,885780,712158,659910,571926,251308,359944,316292,262142,107150,17610,17118,15282,6682,9010,9552,8084,3486,63570,77910,56724,21600,31152,37440,26036,9250,4366,4572,2262,628,2198,2518,1222,306,128654,51982,31390,14632,64816,24836,15060,7002
215,TX-2010,12685010,11490664,10562878,5146206,6501280,5844816,5252448,2412438,2103606,1835116,1592280,546382,1070252,884754,757790,236456,186902,158108,119002,36006,95756,82800,60914,17580,583860,709000,527030,182984,297638,343916,251592,83848,23546,22866,13016,3256,12022,11614,6466,1520,431262,209566,124556,41772,217622,100738,60862,19592
216,TX-2011,12769100,11610528,10701228,5329476,6542614,5905294,5321398,2502386,2110144,1877392,1624010,576558,1074668,907152,772568,250258,184110,160934,123400,39068,94032,84548,63148,19150,598250,732766,553502,200838,304764,355446,264712,91848,23786,23616,13718,3610,12230,11956,6844,1688,453630,218748,129820,44560,229470,105006,63280,20994
217,TX-2012,12842148,11757434,10843636,5519230,6579916,5990248,5391768,2592986,2120270,1929472,1662278,611226,1080026,936212,790512,265456,181762,164574,127664,41996,92826,86556,65472,20630,618144,766290,583064,218712,314996,372386,279638,99622,23682,24450,14362,3938,12208,12556,7144,1846,476106,229898,136098,47824,241690,110260,66130,22666
218,TX-2013,12900044,11899586,10930554,5708660,6604646,6071198,5436224,2683966,2130282,1984928,1694680,643742,1084794,967256,805794,279704,179282,168706,131542,45022,91568,88812,67426,22214,641430,798876,614146,237388,327192,388774,294690,107850,24312,25060,15164,4280,12432,12994,7554,2002,497186,241260,141530,50946,252788,116068,68592,24246
219,TX-2014,13010856,12091516,11002882,5921294,6658966,6179998,5472994,2785462,2148888,2054728,1724586,679296,1093382,1005432,819404,295230,177734,172472,135578,48276,90560,90890,69622,23902,672606,845282,650262,258484,343230,411980,312382,117120,24930,26052,15776,4606,12638,13484,7782,2180,521750,255052,146514,54570,265258,123074,70854,26026
220,UT-2010,1821310,1550708,1095350,534622,925364,794946,547270,254662,30076,22260,12484,2822,15834,13378,7710,1542,33398,26416,16896,4488,17056,13696,8174,2122,34196,43330,27914,9522,16862,20480,12454,4068,23638,17504,8606,2464,12242,9284,4506,1222,73494,29622,11094,2806,37574,14838,5500,1320
221,UT-2011,1832498,1562932,1112248,556350,932196,799720,556324,265350,30214,23066,13094,3046,15932,13742,8050,1660,34052,26740,17214,4798,17346,13802,8348,2266,35100,45140,28932,10320,17336,21264,12960,4372,23450,17930,8900,2670,12132,9484,4620,1360,75468,31360,11594,3020,38682,15746,5706,1432
222,UT-2012,1834458,1580664,1127826,579490,935090,807624,564952,276700,30608,24196,13882,3250,16090,14248,8534,1762,34746,27328,17618,5090,17760,14148,8596,2368,36424,48114,30250,10938,18088,22752,13612,4618,23408,18722,9396,2980,12078,9926,4892,1520,77458,33370,12262,3304,39702,16646,6050,1570
