index,state_year,income
288,NV-2006,76010
289,NV-2007,76630
290,NV-2008,74850
291,NV-2009,70610
292,NV-2010,69340
293,NV-2011,61790
294,NV-2012,61000
295,NV-2013,66010
296,NV-2014,62610
297,NY-2006,70110
298,NY-2007,69380
299,NY-2008,69000
300,NY-2009,68940
301,NY-2010,67420
302,NY-2011,66510
303,NY-2012,61440
304,NY-2013,63620
305,NY-2014,68180
306,OH-2006,66730
307,OH-2007,69600
308,OH-2008,64180
309,OH-2009,62990
310,OH-2010,62140
311,OH-2011,58650
312,OH-2012,57180
313,OH-2013,64610
314,OH-2014,62320
315,OK-2006,56460
316,OK-2007,61260
317,OK-2008,63050
318,OK-2009,62990
319,OK-2010,58370
320,OK-2011,63650
321,OK-2012,62380
322,OK-2013,58770
323,OK-2014,59250
324,OR-2006,68460
325,OR-2007,71210
326,OR-2008,70730
327,OR-2009,67410
328,OR-2010,68530
329,OR-2011,67680
330,OR-2012,66720
331,OR-2013,62390
332,OR-2014,73910
333,PA-2006,70480
334,PA-2007,68660
335,PA-2008,70290
336,PA-2009,66130
337,PA-2010,65430
338,PA-2011,65560
339,PA-2012,66890
340,PA-2013,70220
341,PA-2014,69260
342,RI-2006,78120
343,RI-2007,76840
344,RI-2008,72800
345,RI-2009,70890
346,RI-2010,69910
347,RI-2011,64410
348,RI-2012,72250
349,RI-2013,71710
350,RI-2014,73600
351,SC-2006,57600
352,SC-2007,62670
353,SC-2008,57640
354,SC-2009,56430
355,SC-2010,56470
356,SC-2011,52650
357,SC-2012,57220
358,SC-2013,55460
359,SC-2014,56400
360,SD-2006,66040
361,SD-2007,65800
362,SD-2008,70560
363,SD-2009,62910
364,SD-2010,61420
365,SD-2011,62030
366,SD-2012,63680
367,SD-2013,68010
368,SD-2014,66600
369,TN-2006,59160
370,TN-2007,58390
371,TN-2008,54290
372,TN-2009,55630
373,TN-2010,52260
374,TN-2011,55530
375,TN-2012,55400
376,TN-2013,55210
377,TN-2014,54880
378,TX-2006,62960
379,TX-2007,65280
380,TX-2008,63570
381,TX-2009,65180
382,TX-2010,64010
383,TX-2011,64420
384,TX-2012,66910
