index,state_year,AA,year
156,MA-2009,26.771666666666665,2009
157,MA-2010,27.99416666666667,2010
158,MA-2011,24.953333333333333,2011
159,MA-2012,23.579166666666666,2012
160,MA-2013,22.5925,2013
161,MA-2014,22.629166666666666,2014
162,MI-2006,30.537499999999998,2006
163,MI-2007,29.265833333333333,2007
164,MI-2008,27.85166666666667,2008
165,MI-2009,27.145,2009
166,MI-2010,27.0275,2010
167,MI-2011,24.266666666666666,2011
168,MI-2012,24.751666666666665,2012
169,MI-2013,23.116666666666664,2013
170,MI-2014,23.323333333333334,2014
171,MN-2006,14.512500000000001,2006
172,MN-2007,13.01,2007
173,MN-2008,12.1775,2008
174,MN-2009,11.586666666666666,2009
175,MN-2010,11.194166666666666,2010
176,MN-2011,10.443333333333333,2011
177,MN-2012,11.005,2012
178,MN-2013,10.618333333333334,2013
179,MN-2014,10.258333333333333,2014
180,MS-2006,13.419166666666667,2006
181,MS-2007,12.7525,2007
182,MS-2008,13.290833333333333,2008
183,MS-2009,12.261666666666665,2009
184,MS-2010,11.754166666666668,2010
185,MS-2011,13.375833333333333,2011
186,MS-2012,13.0925,2012
187,MS-2013,13.585,2013
188,MS-2014,13.315,2014
189,MO-2006,31.632499999999997,2006
190,MO-2007,32.735,2007
191,MO-2008,28.575833333333335,2008
192,MO-2009,27.950833333333332,2009
193,MO-2010,26.945833333333336,2010
194,MO-2011,26.031666666666666,2011
195,MO-2012,26.985833333333332,2012
196,MO-2013,24.903333333333332,2013
197,MO-2014,25.415833333333335,2014
198,MT-2006,25.651666666666667,2006
199,MT-2007,26.125,2007
200,MT-2008,20.863333333333333,2008
201,MT-2009,18.769166666666667,2009
202,MT-2010,18.5825,2010
203,MT-2011,18.203333333333333,2011
204,MT-2012,18.0625,2012
205,MT-2013,18.253333333333334,2013
206,MT-2014,20.743333333333332,2014
207,NE-2006,16.694166666666664,2006
208,NE-2007,17.88416666666667,2007
209,NE-2008,17.3425,2008
210,NE-2009,15.840833333333334,2009
211,NE-2010,15.925833333333335,2010
212,NE-2011,13.641666666666666,2011
213,NE-2012,13.711666666666666,2012
214,NE-2013,14.015,2013
215,NE-2014,14.769166666666665,2014
216,NV-2006,34.4925,2006
217,NV-2007,36.1475,2007
218,NV-2008,35.87583333333333,2008
219,NV-2009,36.035000000000004,2009
220,NV-2010,36.464999999999996,2010
221,NV-2011,30.28833333333333,2011
222,NV-2012,32.5875,2012
223,NV-2013,29.650000000000002,2013
224,NV-2014,31.028333333333332,2014
225,NH-2006,6.839166666666667,2006
226,NH-2007,6.949166666666667,2007
227,NH-2008,8.0375,2008
228,NH-2009,8.239166666666668,2009
229,NH-2010,8.695833333333333,2010
230,NH-2011,10.1725,2011
231,NH-2012,9.645,2012
232,NH-2013,9.24,2013
233,NH-2014,9.194166666666666,2014
234,NJ-2006,14.86,2006
235,NJ-2007,13.969166666666666,2007
236,NJ-2008,13.58,2008
237,NJ-2009,13.51,2009
238,NJ-2010,13.155833333333334,2010
239,NJ-2011,12.834166666666667,2011
240,NJ-2012,12.148333333333333,2012
241,NJ-2013,11.301666666666668,2013
242,NJ-2014,10.42,2014
243,NM-2006,40.59083333333333,2006
244,NM-2007,41.281666666666666,2007
245,NM-2008,40.3325,2008
246,NM-2009,40.3525,2009
247,NM-2010,38.270833333333336,2010
248,NM-2011,36.939166666666665,2011
249,NM-2012,35.4575,2012
250,NM-2013,36.1675,2013
251,NM-2014,35.2275,2014
252,NY-2006,19.623333333333335,2006
253,NY-2007,19.507499999999997,2007
254,NY-2008,18.0675,2008
255,NY-2009,18.633333333333333,2009
256,NY-2010,18.954166666666666,2010
257,NY-2011,19.58833333333333,2011
258,NY-2012,20.323333333333334,2012
259,NY-2013,19.708333333333332,2013
260,NY-2014,19.144166666666667,2014
261,NC-2006,24.215,2006
262,NC-2007,23.793333333333333,2007
263,NC-2008,22.911666666666665,2008
264,NC-2009,20.464166666666667,2009
265,NC-2010,19.31,2010
266,NC-2011,18.548333333333336,2011
267,NC-2012,19.246666666666666,2012
268,NC-2013,17.93,2013
269,NC-2014,17.993333333333336,2014
270,ND-2006,12.014166666666666,2006
271,ND-2007,12.8575,2007
272,ND-2008,13.494166666666667,2008
273,ND-2009,14.250833333333333,2009
274,ND-2010,14.898333333333333,2010
275,ND-2011,16.006666666666664,2011
276,ND-2012,15.319166666666668,2012
277,ND-2013,16.624166666666667,2013
278,ND-2014,16.0825,2014
279,OH-2006,13.081666666666665,2006
280,OH-2007,13.261666666666665,2007
281,OH-2008,12.625833333333333,2008
282,OH-2009,12.0225,2009
283,OH-2010,11.461666666666666,2010
284,OH-2011,11.200000000000001,2011
285,OH-2012,11.28,2012
