index,state_year,unemployment
0,KY-2006,5.7
1,KY-2007,5.4
2,KY-2008,6.5
3,KY-2009,10.6
4,KY-2010,10.3
5,KY-2011,9.4
6,KY-2012,8.2
7,KY-2013,7.9
8,KY-2014,7.9
